shstReferenceId,min_lanes,max_lanes,oneWay
00bb8498e89db3ef1aa0757e13f66e3b,3,3,True
00bbd67a344ef39ed8235b8f8fd7fdb7,4,4,True
00bbde5317afe2bd4a131878409b946e,1,1,True
00bd702ea3820bdf82cdaa69d364f85e,2,2,False
00bdf0a402feb8700f9b55ae14cf7629,4,4,False
00be24600db9c622d78d89d4256fc7b1,2,2,False
00be9d4166f67bb2d9e1f465ef00aaf4,3,3,"[True, True]"
00bec98c2d12cba7b1820c78646cfe88,2,2,False
00bedaa9a82f9bd0bde1a3a6b3817b93,2,2,True
00bfcb4e6303818f8baa72d16733c9b6,2,2,True
00c2c1feaa178eb1adfd2dac3a7fa474,2,2,True
00c32cc413e265b4ade2c6e11861b9f4,2,2,False
00c4213423104361a6e06042033a6595,2,2,False
00c4f4f8f3583e6b5dcfbcd9dd4abdc4,4,4,False
00c5127251d5cefa79d100672805dfbc,2,2,False
00c71143e5a9c1d70fc354a81f7fc82e,3,3,"[True, True, True]"
00c73eace7e4d3d0032d8f031c2308fb,3,3,False
00c7a51913bce30f5a24aef682ab3a83,2,2,False
00c7dc616666a525385732bba365c8c3,2,2,False
00c83b368cd7c7ddfcb323cdb3fd3834,1,1,"[True, True, True]"
00c874d198628bd40c90c830d044f172,1,1,True
00c8f3cdf0170976cb53ca23e4168f31,2,2,True
00c94d5cc02cc7b2572bbd496f396169,5,5,False
00c98a27a0b465e47b0071bb27a8e911,4,4,False
00c9de4ba3577669da9b67bf62a2ae95,2,2,True
00ca7a5773a4f7808d7328888893cacf,2,2,True
00ca8615b6a1ce2a1e77683fd55f4b9d,2,2,False
00caf6f32a6208a83b7cf04958c11e9d,4,4,True
00cb3f92ef72ed59c0a05ac6fd692a52,4,4,False
00cba401a8a99056d2e14ce18d4dd477,2,2,False
00cce1320e8fdb183ea1095fb4f6c9c1,2,2,False
00cced0e8a913edf6da9e876099356b0,2,2,False
00ce9fa48fa0ce513c0c91fec65de7c7,6,6,True
00cf12d1a4e9bbf6c6fa12778514f9f6,2,2,False
00d08dec9984e3fceb48557e26584967,2,2,False
00d178917374c3981d369f707ef39525,1,1,True
00d193f2723133d9ec58a0eb06a67aec,3,3,False
00d1e536d22a684c235df88dda6462e3,2,3,"[False, False]"
00d3c38974cfd4c2e2dc3ac1f2167c6e,4,4,False
00d55ab2635e898669da08855d7638c1,3,3,True
00d5c8c1010cbb5d7d8598c9be2106a5,2,2,False
00d6a2e490c495183b1b265baeb2ed6d,2,2,False
00d75f8720783e02821940f5e427dc96,3,3,False
00d7a969a5808d4c6378605516567f08,4,4,"[True, True]"
00d87ea0d734ebd8f47cbad69eb8f03e,1,1,True
00d882d82b3d134f60584602a7c49a63,2,2,False
00d96c8bad5ae8c67dcc55e1bbd3b680,3,3,False
00dd95e5b5b230f22af6d1cba6e51554,2,2,False
00ddb6bb435f65227303a8a6cc0c3f2c,2,2,False
